Store Number,Equipment,Quantity,Repair,Replace,Notes
37,Grease Gun (Leaking),3,1,1,
37,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",2,0,1,"Bay 2 is new, Bay 3 has become unsafe (lock legs)"
37,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,,,
37,Oil Tanks (Leaking),9,0,0,"1 empty, 1 prod has twin tank, waste oil has twin tanks"
37,"Oil Tank Hoses (Leaking, Cracked, Worn)",0,0,0,
37,Oil Tanks (Not In Use),1,0,0,gear oil - now purchase in pails
37,Trash Cans ,5,0,1,need all replaced
37,Water Bibb cocks (washer/coolant),4,0,0,
37,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,0,0,
37,Coolant pump/hoses (Operational),1,0,0,
37,"Air Regulators (Operational, Leaks)",6,0,1,need 2 regulators - leaking
37,"Air hoses (Operational, Leaks, Cracks)",6,0,0,
37,"Water Separators (Operational, Leaks)",1,1,0,"needs service, GM called plumber (Best Choice Plumbing)"
37,Lower Bay Mop Sink Lift Pump (Operational),0,,,
45,Transmission Machine ,1,0,1,missing parts
45,Tire Machines,1,0,0,
45,Tire Balancer,1,0,0,
45,Radiator Machine,1,0,1,needs new bucket and seals leak. Gravity type.
45,Oil Evacuator,1,0,0,
45,Differential EVAC machine,0,,,none
45,BFE EVAC Machine,1,0,0,
45,A/C machine,1,1,1,Does not work. Needs circuit board.
45,Sump EVAC Machine ,0,,,None
45,"Oil sumps (leaking, roller condition)",3,0,1,Needs new wheels.
45,"Compressors (Operational, Down Time)",1,0,0,
45,"Oil Pumps (Operational,  Down Time)",4,0,0,
45,"Oil Pump Hoses (Leaking, Cracked, Worn)",4,0,0,
45,"Oil Guns (Leaking, Screen operational)",8,1,1,All guns leak and reset buttons do not work.
45,"Oil Gun Hoses (Leaking, Cracked, Worn)",8,1,1,All hoses cracked. 
45,Grease Gun (Leaking),1,,,Manual
45,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",3,0,0,
45,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,,,None
45,Oil Tanks (Leaking),5,1,0,520 tank leaks at base of pump.
45,"Oil Tank Hoses (Leaking, Cracked, Worn)",4,0,0,
45,Oil Tanks (Not In Use),3,,,270 ovals. Tanks empty.
45,Trash Cans ,3,,,
45,Water Bibb cocks (washer/coolant),3,0,1,bay 3 needs replaced
45,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,0,0,
45,Coolant pump/hoses (Operational),1,0,0,
45,"Air Regulators (Operational, Leaks)",5,0,0,
45,"Air hoses (Operational, Leaks, Cracks)",4,0,1,Need replacing. Lower from ceiling so vendor not needed to change them.
45,"Water Separators (Operational, Leaks)",1,0,0,At least 10 years old. Mounted to compressor.
45,Lower Bay Mop Sink Lift Pump (Operational),0,,,Was removed because pumped into sewage pipe without an oil/water separator.
65,Transmission Machine,0,,1,
65,Tire Machines,0,,,
65,Tire Balancer,0,,,
65,Radiator Machine,0,,,
65,Oil Evacuator,1,,1,sucks very slowly
65,Differential EVAC machine,0,,,
65,BFE EVAC Machine,0,,,
65,A/C machine,1,,1,ac machine is broken and missing pieces.
65,Sump EVAC Machine,0,,,
65,"Oil sumps (leaking, roller condition)",2,,,metal grates inside need to be replaced. Paint has faded. Rollers get caught sometimes.
65,"Compressors (Operational, Down Time)",1,,,
65,"Oil Pumps (Operational,  Down Time)",0,,,
65,"Oil Pump Hoses (Leaking, Cracked, Worn)",0,,,
65,"Oil Guns (Leaking, Screen operational)",0,,,
65,"Oil Gun Hoses (Leaking, Cracked, Worn)",0,,,
65,Grease Gun (Leaking),0,,,
65,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",2,1,,lifts lift vehicles crooked. Safety bar on bay 2 is twisted and lift 1 wires are showing.
65,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,,,
65,Oil Tanks (Leaking),2,1,,used oil tanks leaking and forming a puddle in lower bay.
65,"Oil Tank Hoses (Leaking, Cracked, Worn)",0,,,
65,Oil Tanks (Not In Use),0,,,
65,Trash Cans,2,,,
65,Water Bibb cocks (washer/coolant),0,,,
65,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,,1,washer fluid pump broke.
65,Coolant pump/hoses (Operational),0,,,
65,"Air Regulators (Operational, Leaks)",2,0,0,
65,"Air hoses (Operational, Leaks, Cracks)",2,0,0,
65,"Water Separators (Operational, Leaks)",0,,,
65,Lower Bay Mop Sink Lift Pump (Operational),0,,,
66,Transmission Machine,,,1,
66,Tire Machines,1,0,0,
66,Tire Balancer,1,0,0,
66,Radiator Machine,1,,1,doesn? work
66,Oil Evacuator,1,1,,need new hoses
66,Differential EVAC machine,,,1,
66,BFE EVAC Machine,,,1,
66,A/C machine,,,1,
66,Sump EVAC Machine,,,,
66,"Oil sumps (leaking, roller condition)",4,0,0,
66,"Compressors (Operational, Down Time)",1,0,0,
66,"Oil Pumps (Operational,  Down Time)",3,0,0,
66,"Oil Pump Hoses (Leaking, Cracked, Worn)",,0,0,
66,"Oil Guns (Leaking, Screen operational)",,,,
66,"Oil Gun Hoses (Leaking, Cracked, Worn)",,,,
66,Grease Gun (Leaking),,,1,
66,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",4,1,,maint.
66,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,,,
66,Oil Tanks (Leaking),,0,0,
66,"Oil Tank Hoses (Leaking, Cracked, Worn)",,0,0,
66,Oil Tanks (Not In Use),,0,0,
66,Trash Cans,2,0,0,
66,Water Bibb cocks (washer/coolant),2,,1,
66,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",2,,1,
66,Coolant pump/hoses (Operational),,0,0,
66,"Air Regulators (Operational, Leaks)",3,0,0,
66,"Air hoses (Operational, Leaks, Cracks)",4,,,
66,"Water Separators (Operational, Leaks)",3,0,0,
66,Lower Bay Mop Sink Lift Pump (Operational),,,,
126,Transmission Machine ,1,0,1,Ttech style
126,Tire Machines,1,0,0,
126,Tire Balancer,1,0,0,
126,Radiator Machine,1,0,1,Gravity style
126,Oil Evacuator,1,0,0,
126,Differential EVAC machine,0,0,0,Need one
126,BFE EVAC Machine,1,0,0,
126,A/C machine,1,1,1,Leaks internally.
126,Sump EVAC Machine ,0,0,0,
126,"Oil sumps (leaking, roller condition)",4,1,0,Leaking at couplers
126,"Compressors (Operational, Down Time)",1,0,0,
126,"Oil Pumps (Operational,  Down Time)",5,0,1,2 just blow air 
126,"Oil Pump Hoses (Leaking, Cracked, Worn)",0,0,0,
126,"Oil Guns (Leaking, Screen operational)",8,0,1,The dials do not work. Guns wont completely reset. Need 8.
126,"Oil Gun Hoses (Leaking, Cracked, Worn)",8,0,1,1 leaks and 7 are cracked/have metal showing.
126,Grease Gun (Leaking),4,1,0,None work. Using manual gun.
126,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",4,1,0,2 lifts sitting on top of old tile floor. Makes them unstable.
126,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,0,0,
126,Oil Tanks (Leaking),4,0,0,
126,"Oil Tank Hoses (Leaking, Cracked, Worn)",5,0,0,
126,Oil Tanks (Not In Use),1,0,0,10/30 High mileage
126,Trash Cans ,3,0,0,
126,Water Bibb cocks (washer/coolant),4,0,0,
126,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,0,0,
126,Coolant pump/hoses (Operational),1,0,0,
126,"Air Regulators (Operational, Leaks)",6,0,0,
126,"Air hoses (Operational, Leaks, Cracks)",3,1,1,Have 3. Plumbing bent on one. Missing 3.
126,"Water Separators (Operational, Leaks)",0,0,0,
126,Lower Bay Mop Sink Lift Pump (Operational),0,0,0,
131,Transmission Machine,0,,1,
131,Tire Machines,1,0,0,
131,Tire Balancer,1,0,0,
131,Radiator Machine,1,,1,
131,Oil Evacuator,1,,1,
131,Differential EVAC machine,o,,1,
131,BFE EVAC Machine,1,0,0,
131,A/C machine,0,,,
131,Sump EVAC Machine,0,,,
131,"Oil sumps (leaking, roller condition)",4,0,0,
131,"Compressors (Operational, Down Time)",1,0,0,
131,"Oil Pumps (Operational,  Down Time)",4,0,1,need 2 new pumps
131,"Oil Pump Hoses (Leaking, Cracked, Worn)",4,0,0,
131,"Oil Guns (Leaking, Screen operational)",4,1,1,
131,"Oil Gun Hoses (Leaking, Cracked, Worn)",4,1,1,leaks
131,Grease Gun (Leaking),0,,,
131,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",4,1,0,"locks missing, fluid leaks, twist lift"
131,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,,,
131,Oil Tanks (Leaking),4,0,0,
131,"Oil Tank Hoses (Leaking, Cracked, Worn)",4,0,0,
131,Oil Tanks (Not In Use),0,,,
131,Trash Cans,4,,,
131,Water Bibb cocks (washer/coolant),2,0,0,
131,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",2,0,0,
131,Coolant pump/hoses (Operational),1,1,1,need pump
131,"Air Regulators (Operational, Leaks)",6,1,1,need to diagnose
131,"Air hoses (Operational, Leaks, Cracks)",4,1,1,2 hoses not getting air
131,"Water Separators (Operational, Leaks)",6,,,
131,Lower Bay Mop Sink Lift Pump (Operational),,,,
132,Transmission Machine,0,,1,
132,Tire Machines,1,0,0,
132,Tire Balancer,1,1,,air leak
132,Radiator Machine,0,,1,
132,Oil Evacuator,1,0,0,
132,Differential EVAC machine,0,,1,
132,BFE EVAC Machine,0,,1,
132,A/C machine,0,,1,
132,Sump EVAC Machine,1,0,0,
132,"Oil sumps (leaking, roller condition)",4,0,0,
132,"Compressors (Operational, Down Time)",1,0,0,
132,"Oil Pumps (Operational,  Down Time)",4,1,1,2 pumps down
132,"Oil Pump Hoses (Leaking, Cracked, Worn)",4,1,1,
132,"Oil Guns (Leaking, Screen operational)",4,0,0,
132,"Oil Gun Hoses (Leaking, Cracked, Worn)",4,1,1,
132,Grease Gun (Leaking),0,,,
132,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",4,1,0,leaking hydrolic hoses on 3
132,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,,,
132,Oil Tanks (Leaking),4,0,0,
132,"Oil Tank Hoses (Leaking, Cracked, Worn)",,,,na
132,Oil Tanks (Not In Use),0,,,
132,Trash Cans,4,0,0,
132,Water Bibb cocks (washer/coolant),2,1,1,
132,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,0,1,
132,Coolant pump/hoses (Operational),1,0,1,
132,"Air Regulators (Operational, Leaks)",6,0,0,
132,"Air hoses (Operational, Leaks, Cracks)",1,1,1,
132,"Water Separators (Operational, Leaks)",6,0,0,
132,Lower Bay Mop Sink Lift Pump (Operational),,,,
138,Transmission Machine,1,,,brand new
138,Tire Machines,0,,,Non tire store
138,Tire Balancer,0,,,Non Tire store
138,Radiator Machine,1,,,brand new
138,Oil Evacuator,1,,,brand new
138,Differential EVAC machine,1,,,brand new
138,BFE EVAC Machine,0,,1,Broken needs replaced** THIS I WILL ORDER FROM SERVICE CHAMP
138,A/C machine,0,,,Do not do AC service
138,Sump EVAC Machine,0,,,Do not do AC service
138,"Oil sumps (leaking, roller condition)",4,,1,wheels need to be replaced on three of them
138,"Compressors (Operational, Down Time)",1,,,no issues
138,"Oil Pumps (Operational,  Down Time)",1,,,
138,"Oil Pump Hoses (Leaking, Cracked, Worn)",5,,,no issues
138,"Oil Guns (Leaking, Screen operational)",10,,,2 guns are leaking and need new seals (repair) and 1 gun has a screen that is not working (replace)
138,"Oil Gun Hoses (Leaking, Cracked, Worn)",10,,,no issues
138,Grease Gun (Leaking),4,1,,
138,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",2,1,,Bay 1 locks you have to kick down
138,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",,,,none
138,Oil Tanks (Leaking),5,,,no issues
138,"Oil Tank Hoses (Leaking, Cracked, Worn)",5,,1,Syn 520 hose cracked and worn
138,Oil Tanks (Not In Use),,,,
138,Trash Cans,2,,,no issues
138,Water Bibb cocks (washer/coolant),1,,,no issues
138,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",2,,,no issues
138,Coolant pump/hoses (Operational),1,,,no issues
138,"Air Regulators (Operational, Leaks)",8,,,no issues
138,"Air hoses (Operational, Leaks, Cracks)",2,,,no issues
138,"Water Separators (Operational, Leaks)",,,,none
138,Lower Bay Mop Sink Lift Pump (Operational),,,,none
187,Transmission Machine,0,,,Don't currently have one. Its on order
187,Tire Machines,1,0,0,"works well, no repairs needed"
187,Tire Balancer,1,0,0,"works well, no repairs needed"
187,Radiator Machine,1,0,1,"works, but an old machine"
187,Oil Evacuator,2,0,0,"works well, no repairs needed"
187,Differential EVAC machine,0,,,
187,BFE EVAC Machine,1,0,1,doesn't suck as well as it should
187,A/C machine,1,1,1,"buttons don't work, can only add and remove refrigerant"
187,Sump EVAC Machine,1,0,0,works well
187,"Oil sumps (leaking, roller condition)",4,1,1,"ball valves leak, and hose on 3 and 4 don't drain"
187,"Compressors (Operational, Down Time)",1,1,0,needs a new drain hose at the bottom
187,"Oil Pumps (Operational,  Down Time)",3,1,0,"the pumps themselves are fine, they leak on the pipes under them"
187,"Oil Pump Hoses (Leaking, Cracked, Worn)",6,,1,there is oil leaking around the pipes at the joints
187,"Oil Guns (Leaking, Screen operational)",3,,1,"2 leak after use for a little while from the nozzle, and 1 the screen doesn't work"
187,"Oil Gun Hoses (Leaking, Cracked, Worn)",6,1,1,"appear to be leaking from above the ball valve joint, where the pipes meet"
187,Grease Gun (Leaking),2,1,1,"grease system isn't working, we use a small manual one"
187,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",4,1,1,"need periodic repair, but all locks work, no leaks, bay 2 lifts sideways"
187,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,,,
187,Oil Tanks (Leaking),2,1,0,looks to be leaking from the pipe fittings where the pump is located
187,"Oil Tank Hoses (Leaking, Cracked, Worn)",,,,
187,Oil Tanks (Not In Use),2,1,0,"there are 2 tanks, but they are currently connected as one tank both are 60x60x32"
187,Trash Cans,3,0,1,"work, just old and used"
187,Water Bibb cocks (washer/coolant),2,0,1,could use new ones
187,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,1,1,"air leaks from the pump, needs to be rebuilt or replaced"
187,Coolant pump/hoses (Operational),0,0,0,"no pump, just drains from the tank"
187,"Air Regulators (Operational, Leaks)",10,0,0,"all work, no air leaking from them"
187,"Air hoses (Operational, Leaks, Cracks)",1,,1,could use a new air line on the side of the inspection machines
187,"Water Separators (Operational, Leaks)",0,,,don't have one
187,Lower Bay Mop Sink Lift Pump (Operational),0,,,Don't currently have one.
202,Transmission Machine ,,0,0,Machine is being replaced 
202,Tire Machines,,1,1,Duck head arm needs adjusted and repaired
202,Tire Balancer,,0,0,Maitnenced regularly 
202,Radiator Machine,,1,1,Machine will need to be replaced 
202,Oil Evacuator,,0,0,Operational
202,Differential EVAC machine,,1,1,Will be replaced with Service Champ 
202,BFE EVAC Machine,,1,1,Will be replaced with Service Champ 
202,A/C machine,,1,1,Needs Maintence needs couplers.
202,Sump EVAC Machine ,,0,0,
202,"Oil sumps (leaking, roller condition)",4,1,1,Bay 3 & 4 needs wheels welded and adjusted do not roll properly on the bays
202,"Compressors (Operational, Down Time)",1,0,0,Operational
202,"Oil Pumps (Operational,  Down Time)",4,1,1,1 Pumps are not working at all and does not pump. 
202,"Oil Pump Hoses (Leaking, Cracked, Worn)",,1,1,lines on 530 high mileage and 530 conv worn and cracked and slightly leaking air 
202,"Oil Guns (Leaking, Screen operational)",6,,,Oil Screens are not operational minor leaks from guns running down to hoses 
202,"Oil Gun Hoses (Leaking, Cracked, Worn)",7,1,1,Hoses are leaking down from guns and hoses are worn
202,Grease Gun (Leaking),,0,0,Just replaced 
202,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",3,1,1,locks on 1 & 2 not operational need replaced. Hydraulic arms on 1 are rusted.
202,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",,0,0,Operational
202,Oil Tanks (Leaking),12,0,0,Operational
202,"Oil Tank Hoses (Leaking, Cracked, Worn)",,0,0,
202,Oil Tanks (Not In Use),5,1,1,5 tanks that are not in use just need to be filled and pump put onto tank for it to be operational
202,Trash Cans ,7,0,0,Operational
202,Water Bibb cocks (washer/coolant),,0,0,Operational
202,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",2,1,1,"two washer tanks but only one is operational, Hoses need replaced on second tank for it to be operational"
202,Coolant pump/hoses (Operational),,0,0,No pumps or hoses 
202,"Air Regulators (Operational, Leaks)",4,0,0,no leaks 
202,"Air hoses (Operational, Leaks, Cracks)",4,1,1,will  order hoses from service Champ 
202,"Water Separators (Operational, Leaks)",,0,0,Operational
202,Lower Bay Mop Sink Lift Pump (Operational),,0,0,No mop sink in lower bay 
241,Transmission Machine,0,,1,
241,Tire Machines,1,0,0,
241,Tire Balancer,1,0,0,
241,Radiator Machine,1,,1,
241,Oil Evacuator,1,,1,need new machine
241,Differential EVAC machine,0,,1,
241,BFE EVAC Machine,0,,1,
241,A/C machine,0,,1,
241,Sump EVAC Machine,,,,
241,"Oil sumps (leaking, roller condition)",4,0,0,
241,"Compressors (Operational, Down Time)",1,0,0,
241,"Oil Pumps (Operational,  Down Time)",2,,1,
241,"Oil Pump Hoses (Leaking, Cracked, Worn)",,0,0,
241,"Oil Guns (Leaking, Screen operational)",4,,1,
241,"Oil Gun Hoses (Leaking, Cracked, Worn)",4,1,,leaks
241,Grease Gun (Leaking),o,,1,
241,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",4,0,0,
241,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",,,,
241,Oil Tanks (Leaking),,0,0,
241,"Oil Tank Hoses (Leaking, Cracked, Worn)",,0,0,
241,Oil Tanks (Not In Use),,,,
241,Trash Cans,2,0,0,
241,Water Bibb cocks (washer/coolant),2,,1,
241,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,,1,
241,Coolant pump/hoses (Operational),1,,1,
241,"Air Regulators (Operational, Leaks)",2,0,0,
241,"Air hoses (Operational, Leaks, Cracks)",4,0,0,
241,"Water Separators (Operational, Leaks)",2,0,0,
241,Lower Bay Mop Sink Lift Pump (Operational),,,,
247,Transmission Machine,1,0,0,
247,Tire Machines,1,0,0,
247,Tire Balancer,1,0,0,
247,Radiator Machine,1,0,0,
247,Oil Evacuator,1,0,0,
247,Differential EVAC machine,1,0,0,
247,BFE EVAC Machine,1,0,0,
247,A/C machine,0,,,
247,Sump EVAC Machine,0,,,
247,"Oil sumps (leaking, roller condition)",6,0,0,
247,"Compressors (Operational, Down Time)",2,0,0,
247,"Oil Pumps (Operational,  Down Time)",6,1,,Leaking. Rebuild needed
247,"Oil Pump Hoses (Leaking, Cracked, Worn)",3,0,0,
247,"Oil Guns (Leaking, Screen operational)",10,0,1,"3 Leaking, 1 will not turn on."
247,"Oil Gun Hoses (Leaking, Cracked, Worn)",10,0,0,
247,Grease Gun (Leaking),4,,1,None Work Properly. Replace with handheld grease gun.
247,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",2,0,0,
247,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",1,0,0,
247,Oil Tanks (Leaking),9,0,0,
247,"Oil Tank Hoses (Leaking, Cracked, Worn)",6,0,0,
247,Oil Tanks (Not In Use),0,,,
247,Trash Cans,10,0,0,
247,Water Bibb cocks (washer/coolant),3,0,0,
247,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,0,0,
247,Coolant pump/hoses (Operational),1,0,0,
247,"Air Regulators (Operational, Leaks)",1,0,0,
247,"Air hoses (Operational, Leaks, Cracks)",4,0,0,
247,"Water Separators (Operational, Leaks)",1,0,0,
247,Lower Bay Mop Sink Lift Pump (Operational),0,,,
251,Transmission Machine,0,,,
251,Tire Machines,1,,,
251,Tire Balancer,1,,,
251,Radiator Machine,0,,,
251,Oil Evacuator,1,,,
251,Differential EVAC machine,0,,,
251,BFE EVAC Machine,0,,,
251,A/C machine,0,,,
251,Sump EVAC Machine,0,,,
251,"Oil sumps (leaking, roller condition)",0,,,
251,"Compressors (Operational, Down Time)",1,,,
251,"Oil Pumps (Operational,  Down Time)",6,,,
251,"Oil Pump Hoses (Leaking, Cracked, Worn)",1,,,Minor leak on bay 2
251,"Oil Guns (Leaking, Screen operational)",8,,1,6 guns work. 2 need replaced.
251,"Oil Gun Hoses (Leaking, Cracked, Worn)",,,,
251,Grease Gun (Leaking),1,,,
251,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",2,1,,"Bay 3 lift, reluctant to go down"
251,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",,,,
251,Oil Tanks (Leaking),,,,
251,"Oil Tank Hoses (Leaking, Cracked, Worn)",,,,
251,Oil Tanks (Not In Use),4,,,
251,Trash Cans,8,,,
251,Water Bibb cocks (washer/coolant),,,,
251,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,,,
251,Coolant pump/hoses (Operational),0,,,
251,"Air Regulators (Operational, Leaks)",,,,
251,"Air hoses (Operational, Leaks, Cracks)",8,,1,"Bay 3 hose for tires needs replaced, and bay 1 ceiling hose is leaking."
251,"Water Separators (Operational, Leaks)",1,,,It needs cleaned
251,Lower Bay Mop Sink Lift Pump (Operational),,,,
257,Transmission Machine ,1,0,0,Ordered and being Shipped 
257,Tire Machines,1,1,1,Air lines leaking on back of machine 
257,Tire Balancer,1,0,0,Operational
257,Radiator Machine,1,0,0,will be ordering from service champ 
257,Oil Evacuator,1,0,0,Operational
257,Differential EVAC machine,0,1,1,will be replacing 
257,BFE EVAC Machine,2,0,0,Operational
257,A/C machine,0,1,1,Do not have AC machine 
257,Sump EVAC Machine ,1,0,0,Operational
257,"Oil sumps (leaking, roller condition)",4,1,1,3 and 2 rollers need replaced 1 & 2 needs drain houses replaced
257,"Compressors (Operational, Down Time)",,0,0,Regular service operational
257,"Oil Pumps (Operational,  Down Time)",3,0,0,Operational
257,"Oil Pump Hoses (Leaking, Cracked, Worn)",4,1,1,1 & 2 hoses are cracked need replaced
257,"Oil Guns (Leaking, Screen operational)",6,1,1,High mileage gun screen not working on 1 and 2 screens on Podium 2 not working. Those three are also leaking 
257,"Oil Gun Hoses (Leaking, Cracked, Worn)",6,1,1,3 hoses leaking from the broken above 
257,Grease Gun (Leaking),1,0,0,Ordered from service Champ
257,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",3,1,1,Bay 1 and 2 locks need replaced 
257,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",,0,0,
257,Oil Tanks (Leaking),12,0,0,No leaking tanks
257,"Oil Tank Hoses (Leaking, Cracked, Worn)",3,0,0,Operational
257,Oil Tanks (Not In Use),5,1,1,Tanks in good condition just need Pumps and filled with product
257,Trash Cans ,6,0,0,Operational
257,Water Bibb cocks (washer/coolant),2,0,0,Operational
257,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",2,1,1,Cracks in bay 1 hose and hose split.
257,Coolant pump/hoses (Operational),,0,0,No coolant tanks for pumping
257,"Air Regulators (Operational, Leaks)",,0,0,Operational
257,"Air hoses (Operational, Leaks, Cracks)",4,1,1,Middle Bay fittings leak air needs replaced 
